n.louvainGlobalComponentId,size(collect(n.wikiID)),collect(n.wikiID),collect(n.en)
1384686,55,"[Q840400,Q131683,Q441,Q131089,Q183252,Q420,Q2465832,Q163082,Q42250,Q11467,Q160398,Q188056,Q228736,Q660910,Q130788,Q188956,Q190993,Q188847,Q42515,Q46255,Q8008,Q1069,Q189603,Q2695280,Q190553,Q336,Q43518,Q188391,Q189131,Q194292,Q83371,Q7991,Q185973,Q133805,Q207011,Q1071953,Q11016,Q484591,Q26939,Q213713,Q521,Q7202,Q816425,Q908902,Q210506,Q177784,Q193642,Q3454555,Q7162,Q28797,Q7141,Q7173,Q182468,Q7168,Q2374463]","[evolutionary biology,embryology,botany,geodesy,morphology,biology,branch of science,petrology,hydrology,metallurgy,crystallography,triangulation,materials science,neurophysiology,chronology,plant pathology,malacology,environmental science,cartography,geophysics,earth science,geology,public health,technique,sociobiology,science,oceanography,phycology,bionics,operations research,seismology,natural science,plant physiology,epidemiology,neuroscience,medical genetics,technology,natural history,epigenetics,developmental biology,physiology,molecular biology,surveying,structural biology,molecular genetics,hydraulics,scale,dominance,genetics,applied science,cell biology,marine biology,hydrography,histology,data science]"
780610,48,"[Q13276,Q5834964,Q185749,Q3314483,Q13317,Q177,Q44541,Q173265,Q5090,Q8495,Q178,Q2095,Q213371,Q10943,Q81799,Q81,Q719725,Q41415,Q145909,Q192783,Q185217,Q208105,Q23425,Q182940,Q61081,Q9053,Q2920963,Q485796,Q477248,Q9266,Q917761,Q178024,Q296955,Q195,Q207968,Q34172,Q40089,Q380778,Q375,Q215210,Q13266,Q36465,Q127666,Q22728,Q41611,Q131748,Q504133,Q152024]","[cake,marmalade,kefir,fruit,yogurt,pizza,pancake,potato chip,rice,milk,pasta,food,vitreous enamel,cheese,fast food,carrot,Saccharomyces cerevisiae,soup,legume,doughnut,dairy product,risotto,Cucumis sativus,dessert,kumis,pudding,stew,pilaf,pastry,salad,dulce de leche,dough,oil paint,chocolate,guacamole,butter,brick,organic food,waffle,dietary fiber,cookie,flour,frying pan,human breast milk,Coriandrum sativum,mustard,jalapeño,malt]"
853324,47,"[Q2472587,Q16334295,Q37813,Q3282637,Q10873124,Q1196129,Q131449,Q129270,Q1097498,Q191086,Q131427,Q874405,Q322170,Q103817,Q5,Q485732,Q998,Q8425,Q26513,Q168525,Q193279,Q2066131,Q729,Q227936,Q104021,Q8441,Q3031,Q152,Q172964,Q467,Q730371,Q7569,Q42320,Q13382576,Q159344,Q164509,Q37868,Q106713,Q171318,Q1367,Q7372,Q81825,Q10304508,Q191923,Q259059,Q430,Q259327]","[people,group of humans,ecosystem,film producer,chess player,spouse,flora,larva,ruler,jungle,autotroph,social group,suffragette,indigenous people,human,Quraysh,infant,society,human fetus,tadpole,orphan,athlete,animal,tribe,fauna,man,girl,fish,goalkeeper,woman,megafauna,child,Savanna,rower,heterotroph,omnivore,algae,mestizo,kinship,monkey,shark,caterpillar,Ixodida,mulatto,household,dinosaur,lifeguard]"
619492,45,"[Q170765,Q34379,Q181890,Q8355,Q161462,Q104526,Q13233,Q196538,Q39397,Q103896,Q4213,Q18530,Q167096,Q267989,Q189511,Q204157,Q18533,Q182859,Q1414135,Q127197,Q193075,Q131154,Q6607,Q974850,Q381741,Q13302,Q2995644,Q130912,Q267298,Q1249453,Q78987,Q50000,Q183998,Q634299,Q187359,Q45183,Q99895,Q20459,Q1798603,Q42233,Q1137468,Q23797,Q184158,Q190672,Q32489]","[Pyrrhic victory,musical instrument,plectrum,violin,inclined plane,pipe,ice cream,microscope,axe,compass,telescope,goal,Molotov cocktail,mancala,electronic cigarette,power supply,own goal,gross national product,rolling stock,bomb,hybrid vehicle,hoe,guitar,missile,Thermobaric weapon,sorbet,result,scythe,battery,improvised explosive device,electric guitar,victory,camera obscura,fire hydrant,diaper,flamethrower,pillow,lighter,string instrument,sickle,aerial bomb,contact lens,cluster munition,fire extinguisher,knife]"
1503120,45,"[Q83364,Q9453,Q1441305,Q11024,Q3695082,Q185727,Q133080,Q858893,Q58199,Q1570005,Q52946,Q202833,Q788790,Q34228,Q186619,Q11033,Q131395,Q1027879,Q214267,Q371174,Q192521,Q3972943,Q340169,Q170539,Q418,Q721587,Q81009,Q733553,Q93184,Q428148,Q487,Q41298,Q15078788,Q327968,Q107342,Q207125,Q7281,Q207184,Q190539,Q15032,Q35874,Q287198,Q38926,Q18342738,Q5078274]","[vegetarianism,dialectic,clinical sign,communication,sign,amateur radio,public relations,salute,instant messaging,clay tablet,speech,social media,documentation,sign language,argument,mass media,dialogue,graphics,prophecy,gesture,technical drawing,publishing,media,parody,telecommunication,telegraphy,rhetoric,channel,drawing,regulation,smile,magazine,broadcasting,facial expression,syllogism,nonverbal communication,propaganda,press release,discourse,steganography,humor,online chat,news,public speaking,sketch]"
1366089,45,"[Q8,Q366791,Q9165,Q49447,Q2200417,Q182263,Q730920,Q130989,Q12151852,Q154430,Q58968,Q178066,Q105269,Q152282,Q272021,Q6501338,Q208160,Q131841,Q506422,Q181970,Q187791,Q9420,Q209722,Q2866472,Q91122,Q193181,Q830077,Q13649246,Q9332,Q13698,Q189222,Q47054,Q2390458,Q170658,Q912550,Q1969448,Q160232,Q201413,Q316,Q169251,Q131246,Q168338,Q1127759,Q44746,Q180007]","[happiness,curiosity,soul,world view,cognition,empathy,problem solving,neologism,nostalgia,anxiety,intellectual,libido,Grandmaster,shame,Gestalt psychology,attention,courage,idea,pareidolia,archaism,screen printing,thinking,cognitive dissonance,defence mechanism,bunker,observation,subject,uncertainty,behavior,puzzle,intuition,riddle,telephone numbering plan,creativity,categorization,term,hatred,heuristic,love,sadness,Oedipus complex,behaviorism,cognitive bias,uncertainty principle,syncope]"
563759,44,"[Q184602,Q172221,Q166776,Q223748,Q47050,Q170561,Q163534,Q267245,Q191595,Q232731,Q476028,Q165141,Q189723,Q193386,Q28089,Q174512,Q14132,Q543842,Q47774,Q186262,Q207337,Q194387,Q212564,Q170566,Q34044,Q268208,Q130582,Q160826,Q27971,Q212166,Q937857,Q170327,Q206828,Q172025,Q181190,Q163547,Q483868,Q192828,Q175145,Q188363,Q172020,Q180187,Q181903,Q191406]","[Iran national football team,Slovenia national football team,Belgium national football team,Panama national football team,Netherlands national association football team,Hungary national association football team,Austria national association football team,Portugal national association football team,Togo national football team,Qatar national football team,association football club,Swiss national football team,Saudi Arabia national football team,Bolivia national football team,Egypt national football team,Slovakia national association football team,North Korea national football team,South Korea national football team,France national association football team,Albania national association football team,Morocco national football team,Costa Rica national football team,Colombia national football team,Japan national football team,Scotland national football team,Australia national association football team,China national football team,Sweden national association football team,Tunisia national football team,Peru national football team,association football player,South Africa national association football team,Kuwait national football team,Chile national football team,Bosnia and Herzegovina national football team,Republic of Ireland national association football team,Czech Republic national association football team,Angola national football team,Ivory Coast national football team,Yugoslavia national association football team,Paraguay national football team,Honduras national football team,Algeria national football team,Israel national football team]"
143129,43,"[Q650401,Q133327,Q192316,Q4169,Q82794,Q170758,Q11514315,Q107,Q6999,Q2221906,Q577,Q1190554,Q628858,Q106227,Q186081,Q645883,Q193518,Q190035,Q111161,Q182060,Q51645,Q1473823,Q10791,Q22247,Q106032,Q169342,Q523,Q41872,Q185243,Q11471,Q25481968,Q36507,Q527,Q344,Q9262,Q191891,Q464980,Q8928,Q5151,Q1127742,Q6428674,Q663611,Q133056]","[parathyroid,spacetime,geostationary orbit,outer space,geographic region,lymph node,historical period,space,astronomical object,geographic location,year,occurrence,workplace,locus,time interval,military operation,sabotage,gravitational wave,synod,office,ecumenical council,space elevator,nudity,gamma-ray burst,epicenter,retina,star,interstellar medium,gravitational lens,time,speech act,millennium,sky,future,asterism,fiscal year,exhibition,constellation,month,national day of mourning,era,low Earth orbit,mountain pass]"
288283,39,"[Q11364,Q11438,Q186969,Q43513,Q192880,Q152079,Q645858,Q102151,Q12140,Q46847,Q169336,Q506319,Q134808,Q170258,Q105368,Q170185,Q82658,Q165254,Q191521,Q204376,Q134583,Q181332,Q104614,Q41177,Q5309,Q954845,Q816759,Q677,Q189299,Q234646,Q897,Q179911,Q114675,Q134985,Q178928,Q175089,Q127583,Q323840,Q29476]","[hormone,solid,ibuprofen,emerald,pyroxenes,ash,dietary supplement,fluorite,medication,ring,mixture,generic drug,vaccine,feldspar,garnet group,guano,gypsum,turquoise,sildenafil,kimberlite,talc,zeolite,cinnabar,granite,graphite,statin,beta blocker,iron,necklace,ramen,gold,tourmalines,mica,topaz,zircon,jade,sapphire,lubricant,baking powder]"
1390965,38,"[Q859369,Q179700,Q157443,Q207628,Q178659,Q182015,Q5937792,Q191609,Q24925,Q133067,Q132311,Q37484,Q11424,Q217117,Q44342,Q53094,Q676,Q170980,Q8261,Q213051,Q234343,Q149537,Q379755,Q17144,Q191489,Q178743,Q145806,Q25379,Q208594,Q624771,Q182357,Q482,Q170412,Q155171,Q6585139,Q465821,Q49084,Q245117]","[comedy drama,statue,comedy film,composed musical work,illustration,thriller,crime fiction,refrain,science fiction,mosaic,fantasy,epic poem,film,burlesque,legend,black comedy,prose,obelisk,novel,nonfiction,hadith,novella,arrangement,Presidential Medal of Freedom,melodrama,stele,stand-up comedy,play,screenshot,slapstick,lyric poetry,poetry,melody,cover version,mystery fiction,epistolary novel,short story,relief sculpture]"
1389390,38,"[Q183504,Q7366,Q205049,Q8183,Q11366,Q373342,Q23691,Q9778,Q20378,Q3071,Q8341,Q639197,Q185652,Q11401,Q185298,Q188994,Q11399,Q37073,Q9759,Q43343,Q851213,Q316930,Q486263,Q9730,Q153071,Q10926,Q235858,Q164444,Q186472,Q598929,Q83440,Q379671,Q54365,Q842324,Q76092,Q92251,Q211756,Q7390]","[indie rock,song,world music,phoneme,alternative rock,popular music,national anthem,electronic music,alternative metal,punk rock,jazz,instrumental music,ragtime,hip hop music,a cappella,drum and bass,rock music,pop music,blues,folk music,electronic dance music,dance music,bossa nova,western classical music,polka,emo,traditional folk music,funk,folk rock,post-punk,country music,post-grunge,ska,indie pop,glam rock,noise pollution,dance-pop,voice]"
